indicatorId,geoUnit,year,value,qualifier,magnitude
CE.RA.CULOCC1.1.OV.ILOSTAT.1,AGO,2014,1.05583,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ARM,2014,4.19809,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ARM,2015,3.78953,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,AUT,2014,3.45264,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,AUT,2015,3.57969,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BEL,2014,3.39017,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BEL,2015,3.53208,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BGR,2014,4.20608,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BGR,2015,4.30093,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BIH,2014,5.08564,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BIH,2015,4.36394,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BMU,2010,2.78464,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BOL,2011,4.17875,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BOL,2015,6.61031,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BRA,2013,4.35414,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,BRN,2014,5.49743,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CAN,2015,3.87206,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CHE,2014,5.37647,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CHL,2013,4.3181,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CHL,2016,3.60364,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CPV,2015,2.8943,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CRI,2015,3.60532,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CYM,2016,2.36322,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CYP,2014,3.00159,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CYP,2015,3.05023,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CZE,2014,3.44478,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,CZE,2015,3.935,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,DEU,2014,4.09748,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,DEU,2015,4.14136,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,DNK,2013,2.26868,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,DNK,2014,2.28111,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,DOM,2013,2.10163,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ECU,2013,0.75959,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ECU,2015,4.61094,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ESP,2014,3.16638,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ESP,2015,3.23015,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,EST,2014,4.4481,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,EST,2015,4.76,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,FIN,2014,6.06457,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,FIN,2015,6.27254,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,FRA,2014,3.04547,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,FRA,2015,2.95991,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,GHA,2014,4.49575,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,GRC,2015,3.43978,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,HND,2010,3.49978,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,HND,2015,4.02594,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,HRV,2015,4.15854,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,HUN,2014,3.39757,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,HUN,2015,3.45988,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ISL,2015,4.57267,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ISR,2014,3.92732,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ITA,2014,4.05173,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ITA,2015,4.00231,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,KOR,2014,6.74713,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,KOR,2015,6.90707,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,LKA,2015,6.35348,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,LTU,2014,3.86112,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,LTU,2015,4.26381,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,LUX,2014,5.3478,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,LUX,2015,4.28096,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,LVA,2014,5.52792,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,LVA,2015,5.30075,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MAC,2014,1.98402,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MAC,2015,1.86633,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MDA,2014,3.82691,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MDA,2015,4.25432,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MDV,2014,9.03147,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MEX,2014,4.44429,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MEX,2015,4.57628,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MKD,2014,4.59098,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MKD,2015,4.29425,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MLI,2014,2.13016,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MLI,2015,4.97817,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MLT,2014,5.89727,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MLT,2015,4.32152,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MNG,2014,3.15135,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MNG,2015,5.44065,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MOZ,2014,1.55261,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MYS,2014,2.49037,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,MYS,2015,2.89173,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,NLD,2014,4.04372,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,NLD,2015,3.97932,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PAK,2014,7.06761,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PAK,2015,7.69738,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PAN,2013,4.87009,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PAN,2016,4.52287,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PER,2013,3.95623,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PHL,2014,2.16748,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PHL,2015,2.09934,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PRI,2014,2.53139,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PRI,2015,2.92204,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PRT,2014,4.14034,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PRT,2015,4.08965,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PRY,2010,4.87844,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PSE,2014,0.8726,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,PSE,2015,0.77922,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ROU,2014,3.72344,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ROU,2015,3.60384,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,RUS,2014,5.44351,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SLV,2013,0.58529,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SRB,2014,4.27092,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SRB,2015,4.1521,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SVK,2014,3.88066,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SVK,2015,3.63434,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SVN,2014,5.30528,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SVN,2015,5.45092,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SVN,2016,5.54722,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SWE,2014,3.86805,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SWE,2015,3.82575,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SXM,2013,2.45598,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,SYC,2012,0,,NA
CE.RA.CULOCC1.1.OV.ILOSTAT.1,TGO,2015,9.6016,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,THA,2014,3.65115,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,THA,2015,3.66111,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,TUR,2014,4.56953,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,TUR,2015,4.49227,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,UGA,2012,1.63965,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,URY,2013,1.37341,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,VNM,2014,4.8365,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,VNM,2015,4.60201,,
CE.RA.CULOCC1.1.OV.ILOSTAT.1,ZAF,2014,2.50539,,
