indicatorId,geoUnit,year,value,qualifier,magnitude
CE.RA.SEX.2.OV.CULOCC1.1,AGO,2014,36.43096,,
CE.RA.SEX.2.OV.CULOCC1.1,ARM,2014,45.47881,,
CE.RA.SEX.2.OV.CULOCC1.1,ARM,2015,45.83317,,
CE.RA.SEX.2.OV.CULOCC1.1,AUT,2014,36.69014,,
CE.RA.SEX.2.OV.CULOCC1.1,AUT,2015,36.2963,,
CE.RA.SEX.2.OV.CULOCC1.1,BEL,2014,40.80658,,
CE.RA.SEX.2.OV.CULOCC1.1,BEL,2015,42.73327,,
CE.RA.SEX.2.OV.CULOCC1.1,BGR,2014,69.2185,,
CE.RA.SEX.2.OV.CULOCC1.1,BGR,2015,66.56442,,
CE.RA.SEX.2.OV.CULOCC1.1,BIH,2014,52.2435,,
CE.RA.SEX.2.OV.CULOCC1.1,BIH,2015,53.145,,
CE.RA.SEX.2.OV.CULOCC1.1,BMU,2010,46.19094,,
CE.RA.SEX.2.OV.CULOCC1.1,BOL,2011,26.0343,,
CE.RA.SEX.2.OV.CULOCC1.1,BOL,2015,39.25948,,
CE.RA.SEX.2.OV.CULOCC1.1,BRA,2013,62.45258,,
CE.RA.SEX.2.OV.CULOCC1.1,BRN,2014,45.07928,,
CE.RA.SEX.2.OV.CULOCC1.1,CAN,2015,48.76961,,
CE.RA.SEX.2.OV.CULOCC1.1,CHE,2014,40.42158,,
CE.RA.SEX.2.OV.CULOCC1.1,CHL,2013,46.75095,,
CE.RA.SEX.2.OV.CULOCC1.1,CHL,2016,46.87287,,
CE.RA.SEX.2.OV.CULOCC1.1,CPV,2015,24.17836,,
CE.RA.SEX.2.OV.CULOCC1.1,CRI,2015,45.55289,,
CE.RA.SEX.2.OV.CULOCC1.1,CYM,2016,43.56021,,
CE.RA.SEX.2.OV.CULOCC1.1,CYP,2014,48.07127,,
CE.RA.SEX.2.OV.CULOCC1.1,CYP,2015,47.83086,,
CE.RA.SEX.2.OV.CULOCC1.1,CZE,2014,52.40997,,
CE.RA.SEX.2.OV.CULOCC1.1,CZE,2015,48.5698,,
CE.RA.SEX.2.OV.CULOCC1.1,DEU,2014,41.44568,,
CE.RA.SEX.2.OV.CULOCC1.1,DEU,2015,41.68815,,
CE.RA.SEX.2.OV.CULOCC1.1,DNK,2013,53.52748,,
CE.RA.SEX.2.OV.CULOCC1.1,DNK,2014,52.64156,,
CE.RA.SEX.2.OV.CULOCC1.1,DOM,2013,19.38141,,
CE.RA.SEX.2.OV.CULOCC1.1,ECU,2013,26.74977,,
CE.RA.SEX.2.OV.CULOCC1.1,ECU,2015,47.39423,,
CE.RA.SEX.2.OV.CULOCC1.1,ESP,2014,40.81627,,
CE.RA.SEX.2.OV.CULOCC1.1,ESP,2015,41.86089,,
CE.RA.SEX.2.OV.CULOCC1.1,EST,2014,58.14414,,
CE.RA.SEX.2.OV.CULOCC1.1,EST,2015,62.64014,,
CE.RA.SEX.2.OV.CULOCC1.1,FIN,2014,52.08895,,
CE.RA.SEX.2.OV.CULOCC1.1,FIN,2015,51.27314,,
CE.RA.SEX.2.OV.CULOCC1.1,FRA,2014,39.43356,,
CE.RA.SEX.2.OV.CULOCC1.1,FRA,2015,40.32696,,
CE.RA.SEX.2.OV.CULOCC1.1,GHA,2014,61.18933,,
CE.RA.SEX.2.OV.CULOCC1.1,GRC,2015,49.51691,,
CE.RA.SEX.2.OV.CULOCC1.1,HND,2010,47.1186,,
CE.RA.SEX.2.OV.CULOCC1.1,HND,2015,45.94235,,
CE.RA.SEX.2.OV.CULOCC1.1,HRV,2015,51.15133,,
CE.RA.SEX.2.OV.CULOCC1.1,HUN,2014,41.0374,,
CE.RA.SEX.2.OV.CULOCC1.1,HUN,2015,47.49379,,
CE.RA.SEX.2.OV.CULOCC1.1,ISL,2015,47.61905,,
CE.RA.SEX.2.OV.CULOCC1.1,ISR,2014,55.42515,,
