Сфера культуры,Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
"Музеи, памятники и заповедники",Бельгия,2015,53.15634,Qualifier,Data quality,"Low reliability, use with caution"
"Музеи, памятники и заповедники",Бельгия,2014,41.44857,Qualifier,Data quality,"Low reliability, use with caution"
"Музеи, памятники и заповедники",Боливия,2011,67.58839,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Бразилия,2013,54.84508,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Венгрия,2014,30.24194,standart,standart,standart
"Музеи, памятники и заповедники",Вьетнам,2015,47.48687,standart,standart,standart
"Музеи, памятники и заповедники",Гана,2014,50.62288,standart,standart,standart
"Музеи, памятники и заповедники",Гондурас,2015,24.54456,standart,standart,standart
"Музеи, памятники и заповедники",Гондурас,2010,61.08855,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Доминикана,2013,61.23336,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Израиль,2014,49.10829,standart,standart,standart
"Музеи, памятники и заповедники",Кабо-Верде,2015,82.75862,standart,standart,standart
"Музеи, памятники и заповедники",Каймановы острова,2016,63.07692,standart,standart,standart
"Музеи, памятники и заповедники",Канада,2015,50.38402,standart,standart,standart
"Музеи, памятники и заповедники",Коста-Рика,2015,64.24832,standart,standart,standart
"Музеи, памятники и заповедники",Латвия,2015,78.43137,standart,standart,standart
"Музеи, памятники и заповедники",Латвия,2014,69.23077,standart,standart,standart
"Музеи, памятники и заповедники",Литва,2015,79.14535,standart,standart,standart
"Музеи, памятники и заповедники",Литва,2014,68.85174,standart,standart,standart
"Музеи, памятники и заповедники",Люксембург,2015,29.45736,Qualifier,Data quality,"Low reliability, use with caution"
"Музеи, памятники и заповедники",Люксембург,2014,8.31643,standart,standart,standart
"Музеи, памятники и заповедники",Малайзия,2015,45.45455,standart,standart,standart
"Музеи, памятники и заповедники",Малайзия,2014,70.0,standart,standart,standart
"Музеи, памятники и заповедники",Мексика,2015,56.12571,standart,standart,standart
"Музеи, памятники и заповедники",Мексика,2014,61.64764,standart,standart,standart
"Музеи, памятники и заповедники",Нидерланды,2015,62.5,standart,standart,standart
"Музеи, памятники и заповедники",Нидерланды,2014,55.55556,standart,standart,standart
"Музеи, памятники и заповедники",Пакистан,2014,5.43242,standart,standart,standart
"Музеи, памятники и заповедники",Панама,2016,66.71053,standart,standart,standart
"Музеи, памятники и заповедники",Панама,2013,53.05466,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Парагвай,2010,60.11001,standart,standart,standart
"Музеи, памятники и заповедники",Перу,2013,27.79546,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Пуэрто-Рико,2015,33.9771,standart,standart,standart
"Музеи, памятники и заповедники",Пуэрто-Рико,2014,49.4709,standart,standart,standart
"Музеи, памятники и заповедники",Россия,2014,47.27094,standart,standart,standart
"Музеи, памятники и заповедники",Румыния,2015,40.02118,standart,standart,standart
"Музеи, памятники и заповедники",Сальвадор,2013,9.81169,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Сербия,2015,61.25044,Qualifier,Data quality,"Low reliability, use with caution"
