Сфера культуры,Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
"Музеи, памятники и заповедники",Австрия,2014,3.30986,Qualifier,Data quality,"Low reliability, use with caution"
"Музеи, памятники и заповедники",Бельгия,2015,4.21728,standart,standart,standart
"Музеи, памятники и заповедники",Бельгия,2014,2.1333,Qualifier,Data quality,"Low reliability, use with caution"
"Музеи, памятники и заповедники",Боливия,2011,3.47951,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Бразилия,2013,0.94551,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Бруней,2014,4.37531,standart,standart,standart
"Музеи, памятники и заповедники",Венгрия,2015,2.37304,standart,standart,standart
"Музеи, памятники и заповедники",Венгрия,2014,2.84794,standart,standart,standart
"Музеи, памятники и заповедники",Вьетнам,2015,5.48176,standart,standart,standart
"Музеи, памятники и заповедники",Гана,2014,0.32629,Over Coverage,Classification,Includes other occupation(s)
"Музеи, памятники и заповедники",Гондурас,2015,0.53461,standart,standart,standart
"Музеи, памятники и заповедники",Гондурас,2010,1.13214,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Доминикана,2013,4.35045,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Израиль,2014,3.52749,standart,standart,standart
"Музеи, памятники и заповедники",Кабо-Верде,2015,1.03038,standart,standart,standart
"Музеи, памятники и заповедники",Каймановы острова,2016,6.80628,standart,standart,standart
"Музеи, памятники и заповедники",Канада,2015,9.36825,standart,standart,standart
"Музеи, памятники и заповедники",Коста-Рика,2015,0.62912,standart,standart,standart
"Музеи, памятники и заповедники",Латвия,2015,10.73684,standart,standart,standart
"Музеи, памятники и заповедники",Латвия,2014,10.63395,standart,standart,standart
"Музеи, памятники и заповедники",Литва,2015,5.83812,standart,standart,standart
"Музеи, памятники и заповедники",Литва,2014,4.46308,standart,standart,standart
"Музеи, памятники и заповедники",Люксембург,2015,2.51437,standart,standart,standart
"Музеи, памятники и заповедники",Люксембург,2014,3.98545,standart,standart,standart
"Музеи, памятники и заповедники",Малайзия,2015,0.2704,standart,standart,standart
"Музеи, памятники и заповедники",Малайзия,2014,0.59347,standart,standart,standart
"Музеи, памятники и заповедники",Мальта,2014,1.33383,standart,standart,standart
"Музеи, памятники и заповедники",Мексика,2015,5.38988,Over Coverage,Classification,Includes other occupation(s)
"Музеи, памятники и заповедники",Мексика,2014,5.7754,standart,standart,standart
"Музеи, памятники и заповедники",Нидерланды,2015,2.41692,standart,standart,standart
"Музеи, памятники и заповедники",Нидерланды,2014,2.7027,standart,standart,standart
"Музеи, памятники и заповедники",Пакистан,2015,0.55589,Over Coverage,Classification,Includes other occupation(s)
"Музеи, памятники и заповедники",Пакистан,2015,0.55589,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Пакистан,2014,0.20464,standart,standart,standart
"Музеи, памятники и заповедники",Панама,2016,0.94897,standart,standart,standart
"Музеи, памятники и заповедники",Панама,2013,0.76371,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Парагвай,2010,5.57409,standart,standart,standart
"Музеи, памятники и заповедники",Перу,2013,8.82627,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Пуэрто-Рико,2015,4.783,standart,standart,standart
"Музеи, памятники и заповедники",Пуэрто-Рико,2014,4.29643,standart,standart,standart
"Музеи, памятники и заповедники",Россия,2014,15.66675,standart,standart,standart
"Музеи, памятники и заповедники",Румыния,2015,1.22821,standart,standart,standart
"Музеи, памятники и заповедники",Сальвадор,2013,6.48374,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Сербия,2015,2.69531,Qualifier,Data quality,"Low reliability, use with caution"
"Музеи, памятники и заповедники",Сербия,2014,3.03331,standart,standart,standart
"Музеи, памятники и заповедники",Словакия,2015,3.17821,standart,standart,standart
"Музеи, памятники и заповедники",Словакия,2014,1.85387,Qualifier,Data quality,Data suppressed due to confidentiality or reliability issues
"Музеи, памятники и заповедники",Словения,2016,11.34773,Over Coverage,Classification,Includes other occupation(s)
"Музеи, памятники и заповедники",Словения,2015,11.51669,Over Coverage,Classification,Includes other occupation(s)
"Музеи, памятники и заповедники",Словения,2014,11.43497,Over Coverage,Classification,Includes other occupation(s)
"Музеи, памятники и заповедники",Таиланд,2015,21.17901,standart,standart,standart
"Музеи, памятники и заповедники",Таиланд,2014,20.70808,standart,standart,standart
"Музеи, памятники и заповедники",Того,2015,10.18322,standart,standart,standart
"Музеи, памятники и заповедники",Турция,2015,1.84274,standart,standart,standart
"Музеи, памятники и заповедники",Турция,2014,1.75668,standart,standart,standart
"Музеи, памятники и заповедники",Уганда,2012,0.39421,standart,standart,standart
"Музеи, памятники и заповедники",Уругвай,2013,14.16942,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Финляндия,2015,5.14622,Over Coverage,Classification,Includes other occupation(s)
"Музеи, памятники и заповедники",Финляндия,2014,5.12129,standart,standart,standart
"Музеи, памятники и заповедники",Франция,2015,2.4481,standart,standart,standart
"Музеи, памятники и заповедники",Франция,2014,3.08016,standart,standart,standart
"Музеи, памятники и заповедники",Чехия,2015,3.03419,standart,standart,standart
"Музеи, памятники и заповедники",Чили,2016,13.59719,standart,standart,standart
"Музеи, памятники и заповедники",Чили,2013,15.75633,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Швейцария,2014,2.71618,standart,standart,standart
"Музеи, памятники и заповедники",Швеция,2015,3.6745,standart,standart,standart
"Музеи, памятники и заповедники",Швеция,2014,4.44216,standart,standart,standart
"Музеи, памятники и заповедники",Эквадор,2015,1.73897,standart,standart,standart
"Музеи, памятники и заповедники",Эквадор,2013,20.8451,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Эстония,2015,5.06458,standart,standart,standart
"Музеи, памятники и заповедники",Эстония,2014,4.34282,standart,standart,standart
"Музеи, памятники и заповедники",ЮАР,2014,12.08588,standart,standart,standart
"Музеи, памятники и заповедники",Южная Корея,2015,1.00615,Over Coverage,Classification,Includes other occupation(s)
"Музеи, памятники и заповедники",Южная Корея,2014,0.75014,Over Coverage,Classification,Includes other occupation(s)
"Музыка, театр и фестивали",Австрия,2015,6.59933,standart,standart,standart
"Музыка, театр и фестивали",Австрия,2014,6.69014,standart,standart,standart
"Музыка, театр и фестивали",Бельгия,2015,6.4466,standart,standart,standart
"Музыка, театр и фестивали",Бельгия,2014,6.53882,standart,standart,standart
"Музыка, театр и фестивали",Болгария,2015,5.59816,standart,standart,standart
"Музыка, театр и фестивали",Болгария,2014,5.90112,standart,standart,standart
"Музыка, театр и фестивали",Бразилия,2013,3.14875,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Бруней,2014,10.32939,standart,standart,standart
"Музыка, театр и фестивали",Венгрия,2015,8.09113,standart,standart,standart
"Музыка, театр и фестивали",Венгрия,2014,5.10016,standart,standart,standart
"Музыка, театр и фестивали",Вьетнам,2015,0.54283,standart,standart,standart
"Музыка, театр и фестивали",Гана,2014,1.47978,Over Coverage,Classification,Includes other occupation(s)
"Музыка, театр и фестивали",Гондурас,2015,0.17242,standart,standart,standart
"Музыка, театр и фестивали",Гондурас,2010,0.80013,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Доминикана,2013,22.73791,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Израиль,2014,4.74626,standart,standart,standart
"Музыка, театр и фестивали",Кабо-Верде,2015,10.99662,standart,standart,standart
"Музыка, театр и фестивали",Каймановы острова,2016,7.95812,standart,standart,standart
"Музыка, театр и фестивали",Канада,2015,8.01554,standart,standart,standart
"Музыка, театр и фестивали",Кипр,2015,4.91488,Qualifier,Data quality,"Low reliability, use with caution"
"Музыка, театр и фестивали",Коста-Рика,2015,1.10107,standart,standart,standart
"Музыка, театр и фестивали",Латвия,2015,4.84211,standart,standart,standart
"Музыка, театр и фестивали",Латвия,2014,3.06748,standart,standart,standart
"Музыка, театр и фестивали",Литва,2015,4.74534,standart,standart,standart
"Музыка, театр и фестивали",Литва,2014,3.50292,standart,standart,standart
"Музыка, театр и фестивали",Люксембург,2015,2.99191,standart,standart,standart
"Музыка, театр и фестивали",Люксембург,2014,7.42118,standart,standart,standart
"Музыка, театр и фестивали",Малайзия,2015,1.72075,standart,standart,standart
"Музыка, театр и фестивали",Малайзия,2014,2.7003,standart,standart,standart
"Музыка, театр и фестивали",Мали,2015,2.19328,standart,standart,standart
"Музыка, театр и фестивали",Мальта,2014,1.9681,standart,standart,standart
"Музыка, театр и фестивали",Мексика,2015,6.98331,Over Coverage,Classification,Includes other occupation(s)
"Музыка, театр и фестивали",Мексика,2014,7.25064,standart,standart,standart
"Музыка, театр и фестивали",Нидерланды,2015,7.55287,standart,standart,standart
"Музыка, театр и фестивали",Нидерланды,2014,7.20721,standart,standart,standart
"Музыка, театр и фестивали",Пакистан,2015,0.64969,Over Coverage,Classification,Includes other occupation(s)
"Музыка, театр и фестивали",Пакистан,2015,0.64969,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Пакистан,2014,1.26739,standart,standart,standart
"Музыка, театр и фестивали",Панама,2016,4.33404,standart,standart,standart
"Музыка, театр и фестивали",Панама,2013,4.48032,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Парагвай,2010,4.42,standart,standart,standart
"Музыка, театр и фестивали",Перу,2013,11.94705,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Пуэрто-Рико,2015,0.77894,standart,standart,standart
"Музыка, театр и фестивали",Пуэрто-Рико,2014,9.36576,standart,standart,standart
"Музыка, театр и фестивали",Россия,2014,3.00187,standart,standart,standart
"Музыка, театр и фестивали",Румыния,2015,2.66286,standart,standart,standart
"Музыка, театр и фестивали",Румыния,2014,2.20842,Qualifier,Data quality,"Low reliability, use with caution"
"Музыка, театр и фестивали",Сальвадор,2013,2.4547,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Сербия,2015,8.7193,standart,standart,standart
"Музыка, театр и фестивали",Сербия,2014,10.23927,standart,standart,standart
"Музыка, театр и фестивали",Словакия,2015,2.38365,standart,standart,standart
"Музыка, театр и фестивали",Словакия,2014,4.0349,standart,standart,standart
"Музыка, театр и фестивали",Словения,2016,3.68637,Over Coverage,Classification,Includes other occupation(s)
"Музыка, театр и фестивали",Словения,2015,3.69356,Over Coverage,Classification,Includes other occupation(s)
"Музыка, театр и фестивали",Словения,2014,3.46843,Over Coverage,Classification,Includes other occupation(s)
"Музыка, театр и фестивали",Таиланд,2015,2.32527,standart,standart,standart
"Музыка, театр и фестивали",Таиланд,2014,2.31621,standart,standart,standart
"Музыка, театр и фестивали",Того,2015,0.75317,standart,standart,standart
"Музыка, театр и фестивали",Турция,2015,2.35706,standart,standart,standart
"Музыка, театр и фестивали",Турция,2014,2.28963,standart,standart,standart
"Музыка, театр и фестивали",Уганда,2012,2.44196,standart,standart,standart
"Музыка, театр и фестивали",Уругвай,2013,0.49749,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Финляндия,2015,3.86719,Over Coverage,Classification,Includes other occupation(s)
"Музыка, театр и фестивали",Финляндия,2014,4.78437,standart,standart,standart
"Музыка, театр и фестивали",Франция,2015,5.29409,standart,standart,standart
"Музыка, театр и фестивали",Франция,2014,5.41913,standart,standart,standart
"Музыка, театр и фестивали",Чехия,2015,4.11645,standart,standart,standart
"Музыка, театр и фестивали",Чили,2016,5.35419,standart,standart,standart
"Музыка, театр и фестивали",Чили,2013,5.16418,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Швейцария,2014,4.24655,standart,standart,standart
"Музыка, театр и фестивали",Швеция,2015,8.05149,standart,standart,standart
"Музыка, театр и фестивали",Швеция,2014,7.47583,standart,standart,standart
"Музыка, театр и фестивали",Шри-Ланка,2015,1.25773,Qualifier,Data quality,"Low reliability, use with caution"
"Музыка, театр и фестивали",Эквадор,2015,1.21085,standart,standart,standart
"Музыка, театр и фестивали",Эквадор,2013,0.16396,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музыка, театр и фестивали",Эстония,2015,6.51019,standart,standart,standart
"Музыка, театр и фестивали",Эстония,2014,4.50833,standart,standart,standart
"Музыка, театр и фестивали",ЮАР,2014,2.55053,standart,standart,standart
"Музыка, театр и фестивали",Южная Корея,2015,1.62102,Over Coverage,Classification,Includes other occupation(s)
"Музыка, театр и фестивали",Южная Корея,2014,1.78881,Over Coverage,Classification,Includes other occupation(s)
