Сфера культуры,Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
"Дизайн, мода и архитектура",Швеция,2014,28.76568,standart,standart,standart
"Дизайн, мода и архитектура",Шри-Ланка,2015,3.72955,standart,standart,standart
"Дизайн, мода и архитектура",Эквадор,2015,11.81513,standart,standart,standart
"Дизайн, мода и архитектура",Эквадор,2013,19.91664,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Дизайн, мода и архитектура",Эстония,2015,23.17249,standart,standart,standart
"Дизайн, мода и архитектура",Эстония,2014,26.22963,standart,standart,standart
"Дизайн, мода и архитектура",ЮАР,2014,12.7444,standart,standart,standart
"Дизайн, мода и архитектура",Южная Корея,2015,24.98603,Over Coverage,Classification,Includes other occupation(s)
"Дизайн, мода и архитектура",Южная Корея,2014,26.19735,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Австрия,2015,38.72054,standart,standart,standart
"Живопись, скульптура и рукоделие",Австрия,2014,34.64789,standart,standart,standart
"Живопись, скульптура и рукоделие",Бельгия,2015,17.01904,standart,standart,standart
"Живопись, скульптура и рукоделие",Бельгия,2014,16.87809,standart,standart,standart
"Живопись, скульптура и рукоделие",Болгария,2015,63.72699,standart,standart,standart
"Живопись, скульптура и рукоделие",Болгария,2014,63.79585,standart,standart,standart
"Живопись, скульптура и рукоделие",Боливия,2011,32.51176,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Бразилия,2013,76.11084,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Бруней,2014,59.83793,standart,standart,standart
"Живопись, скульптура и рукоделие",Венгрия,2015,37.96181,standart,standart,standart
"Живопись, скульптура и рукоделие",Венгрия,2014,39.99526,standart,standart,standart
"Живопись, скульптура и рукоделие",Вьетнам,2015,78.31969,standart,standart,standart
"Живопись, скульптура и рукоделие",Гана,2014,88.51708,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Гондурас,2015,74.47627,standart,standart,standart
"Живопись, скульптура и рукоделие",Гондурас,2010,76.17537,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Доминикана,2013,17.71262,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Израиль,2014,23.95935,standart,standart,standart
"Живопись, скульптура и рукоделие",Кабо-Верде,2015,63.11956,standart,standart,standart
"Живопись, скульптура и рукоделие",Каймановы острова,2016,12.25131,standart,standart,standart
"Живопись, скульптура и рукоделие",Канада,2015,17.34062,standart,standart,standart
"Живопись, скульптура и рукоделие",Кипр,2015,24.61102,standart,standart,standart
"Живопись, скульптура и рукоделие",Коста-Рика,2015,73.14115,standart,standart,standart
"Живопись, скульптура и рукоделие",Латвия,2015,36.63158,standart,standart,standart
"Живопись, скульптура и рукоделие",Латвия,2014,37.21881,standart,standart,standart
"Живопись, скульптура и рукоделие",Литва,2015,42.96105,standart,standart,standart
"Живопись, скульптура и рукоделие",Литва,2014,37.3736,standart,standart,standart
"Живопись, скульптура и рукоделие",Люксембург,2015,10.72995,standart,standart,standart
"Живопись, скульптура и рукоделие",Люксембург,2014,7.90622,standart,standart,standart
"Живопись, скульптура и рукоделие",Малайзия,2015,59.56244,standart,standart,standart
"Живопись, скульптура и рукоделие",Малайзия,2014,58.30861,standart,standart,standart
"Живопись, скульптура и рукоделие",Мали,2015,2.13452,standart,standart,standart
"Живопись, скульптура и рукоделие",Мальта,2015,22.75047,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Мальта,2014,23.06688,standart,standart,standart
"Живопись, скульптура и рукоделие",Мексика,2015,54.92216,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Мексика,2014,54.58792,standart,standart,standart
"Живопись, скульптура и рукоделие",Молдова,2015,65.45881,standart,standart,standart
"Живопись, скульптура и рукоделие",Молдова,2014,62.65217,standart,standart,standart
"Живопись, скульптура и рукоделие",Монголия,2015,59.01906,standart,standart,standart
"Живопись, скульптура и рукоделие",Нидерланды,2015,19.93958,standart,standart,standart
"Живопись, скульптура и рукоделие",Нидерланды,2014,19.51952,standart,standart,standart
"Живопись, скульптура и рукоделие",Пакистан,2015,89.11761,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Пакистан,2015,89.11761,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Пакистан,2014,85.58726,standart,standart,standart
"Живопись, скульптура и рукоделие",Панама,2016,66.64752,standart,standart,standart
"Живопись, скульптура и рукоделие",Панама,2013,60.45429,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Парагвай,2010,79.73006,standart,standart,standart
"Живопись, скульптура и рукоделие",Перу,2013,65.89879,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Пуэрто-Рико,2015,12.78663,standart,standart,standart
"Живопись, скульптура и рукоделие",Пуэрто-Рико,2014,14.49572,standart,standart,standart
"Живопись, скульптура и рукоделие",Россия,2014,17.6466,standart,standart,standart
"Живопись, скульптура и рукоделие",Румыния,2015,78.58011,standart,standart,standart
"Живопись, скульптура и рукоделие",Румыния,2014,81.33148,standart,standart,standart
"Живопись, скульптура и рукоделие",Сальвадор,2013,74.0586,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Сербия,2015,54.46616,standart,standart,standart
"Живопись, скульптура и рукоделие",Сербия,2014,49.12658,standart,standart,standart
"Живопись, скульптура и рукоделие",Словакия,2015,51.07832,standart,standart,standart
"Живопись, скульптура и рукоделие",Словакия,2014,49.18212,standart,standart,standart
"Живопись, скульптура и рукоделие",Словения,2016,31.51784,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Словения,2015,32.06638,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Словения,2014,33.03723,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Таиланд,2015,45.75692,standart,standart,standart
"Живопись, скульптура и рукоделие",Таиланд,2014,48.04785,standart,standart,standart
"Живопись, скульптура и рукоделие",Того,2015,84.99349,standart,standart,standart
"Живопись, скульптура и рукоделие",Турция,2015,67.75235,standart,standart,standart
"Живопись, скульптура и рукоделие",Турция,2014,71.52733,standart,standart,standart
"Живопись, скульптура и рукоделие",Уганда,2012,92.03709,standart,standart,standart
"Живопись, скульптура и рукоделие",Уругвай,2013,60.69829,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Финляндия,2015,13.18024,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Финляндия,2014,14.69003,standart,standart,standart
"Живопись, скульптура и рукоделие",Франция,2015,24.2387,standart,standart,standart
"Живопись, скульптура и рукоделие",Франция,2014,25.57092,standart,standart,standart
"Живопись, скульптура и рукоделие",Хорватия,2015,25.40501,Qualifier,Data quality,"Low reliability, use with caution"
"Живопись, скульптура и рукоделие",Чехия,2015,47.68749,standart,standart,standart
"Живопись, скульптура и рукоделие",Чили,2016,55.31558,standart,standart,standart
"Живопись, скульптура и рукоделие",Чили,2013,50.78899,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Швейцария,2014,29.5388,standart,standart,standart
"Живопись, скульптура и рукоделие",Швеция,2015,15.13031,standart,standart,standart
"Живопись, скульптура и рукоделие",Швеция,2014,15.33086,standart,standart,standart
"Живопись, скульптура и рукоделие",Шри-Ланка,2015,91.80203,standart,standart,standart
"Живопись, скульптура и рукоделие",Эквадор,2015,74.11681,standart,standart,standart
